W1GrssyrHH,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsmum,W1empsdad,IndSchool,W1marstatmum,W1depkids,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W1yschat1,W2ghq12scr,W2disc1YP,W2depressYP,W4AlcFreqYP,W4CannTryYP,W4NamesYP,W4RacismYP,W4empsYP,W4schatYP,W4Childck1YP,W5JobYP,W5EducYP,W5Apprent1YP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6Childliv,W6DebtattYP,W8DGHQSC,W8DMARSTAT,W8TENURE,W8DACTIVITY,W8QDEB2
-99,2,1,2,2,1,2,1,13,-99,1,2,2,1,0,2,3,0,-99,1,2,4,2,1,1,3,38,0,2,1,2,2,2,2,5,15,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,16,1,1,4,1,1500
-99,4,1,2,0,1,8,1,14,-99,1,2,2,1,0,2,1,0,-99,1,3,4,2,1,2,3,32,0,2,2,2,2,2,2,4,13,-91,1,2,1,1,2,1,2,3,4,1,2,-91,10,1,1,7,1,2000
-99,2,1,2,-99,1,5,1,-99,20,2,3,6,2,0,2,3,0,-99,4,1,2,1,2,2,-99,31,0,2,2,-91,2,2,2,5,5,-91,1,1,2,2,2,2,2,3,4,1,2,-91,10,8,2,4,13,10000
-99,1,1,2,-99,1,2,1,-99,20,1,3,6,1,0,2,4,0,4,8,1,5,2,2,2,-99,47,-97,-97,-97,-91,2,2,2,5,19,-91,2,2,2,2,1,-91,-91,1,4,4,2,-91,14,5,1,5,1,30000
-92,2,1,2,1,1,2,1,15,9,1,2,2,1,0,2,2,0,5,1,1,5,2,1,2,3,33,0,2,2,3,1,2,1,5,15,-91,1,2,2,2,1,-91,-91,1,4,4,2,-91,12,0,1,7,1,0
-92,2,1,2,1,1,2,1,15,4,1,2,2,1,0,2,2,0,5,1,3,3,2,1,2,3,36,2,2,2,4,2,2,2,5,15,-91,1,1,2,1,2,2,2,9,4,4,2,-91,12,0,1,7,1,325
-92,1,2,2,1,1,2,1,13,13,2,1,1,2,0,2,2,0,6,3,1,3,2,2,2,3,40,3,2,3,5,2,1,2,5,15,-91,1,1,2,1,1,-91,-91,1,4,4,2,-91,11,0,2,2,1,600
-92,1,1,1,1,1,5,1,8,4,1,1,1,1,0,2,3,0,4,2,1,5,2,2,1,3,41,0,2,2,3,2,2,2,5,16,-91,2,1,2,1,2,1,2,9,4,4,2,-91,13,1,1,4,1,1200
-92,1,1,1,2,1,2,1,16,20,1,1,1,1,0,2,4,0,7,3,2,5,2,1,2,2,27,0,2,1,3,2,2,2,5,13,-91,1,1,2,1,2,2,2,6,2,4,2,-91,10,3,1,5,1,2000
-92,2,1,2,0,1,2,1,8,7,1,2,2,1,0,2,1,0,2,-92,2,3,2,2,2,3,38,1,2,2,3,2,2,2,4,15,-91,1,2,1,1,2,2,2,9,4,4,2,-91,13,0,1,2,1,3000
-92,1,1,2,0,1,2,1,15,20,2,1,1,2,0,2,2,0,4,1,1,2,2,1,2,3,39,0,2,2,2,2,2,2,5,13,-91,1,1,2,1,2,2,2,9,4,4,2,-91,8,2,1,2,13,6500
-92,2,1,2,3,1,2,1,2,2,1,2,2,1,0,2,4,0,2,1,1,3,2,2,2,2,36,1,2,2,3,1,2,2,5,18,-91,1,1,2,1,2,2,2,9,4,4,2,-91,19,2,1,7,1,11000
-92,2,1,2,0,1,2,1,15,15,1,2,2,1,0,2,2,0,4,1,3,4,2,2,1,3,24,0,2,1,3,1,2,2,5,5,-91,1,1,2,2,2,2,2,9,4,4,2,-91,10,0,1,5,1,13000
-92,2,1,2,0,1,2,1,7,2,1,2,2,1,0,2,2,0,1,1,2,2,2,2,-1,3,32,0,2,1,-91,2,2,2,5,13,-91,2,1,2,2,1,-91,-91,1,4,4,2,-91,10,1,1,5,5,22000
-92,1,1,2,0,1,2,1,15,2,1,1,1,1,0,2,2,0,1,1,-1,2,2,1,1,2,32,5,2,3,4,2,2,2,5,4,-91,2,1,2,2,1,-91,-91,2,4,4,2,-91,16,6,2,5,1,30000
-92,1,1,2,1,1,2,1,13,15,1,1,1,1,0,2,2,0,7,1,1,3,2,1,1,3,37,0,2,1,3,2,1,2,2,15,-91,1,2,2,1,2,2,2,9,4,4,2,-91,10,2,1,2,1,150000
